address_name,id,name,type,full_name,purpose_name,address_comment,building_name,is_deleted
"улица Льва Толстого, 7а",4504127908463282,"Легкое дыхание, клиника",branch,,,1 этаж,,
"Руновский переулок, 11/13 ст2",4504127909063707,"Доктор смайл, стоматологическая клиника",branch,,,1 этаж,,
"Ленинградское шоссе, 37 к1",70000001034078087,Центр стоматологии Юлии Селютиной,branch,,,1 этаж; первая дверь слева белого цвета,,
"Федеративный проспект, 9 к1",70000001041707206,"Mdc Clinic, многопрофильный медицинский центр",branch,,,1 этаж,,
"Малая Семёновская улица, 15/17 к4",4504127908902710,"Специальный МДЦ-С, медцентр",branch,,,1 этаж,,
"Кантемировская улица, 53 к1",70000001028120829,"Трит, многопрофильный медицинский центр",branch,,,1 этаж,,
"Гурьевский проезд, 25 к1",70000001055488587,"Зубной патруль, клиника семейной стоматологии",branch,,,1 этаж,,
"улица Авиаконструктора Микояна, 14 к1",4504128908469376,"401, стоматология",branch,,,1 этаж,,
"Щёлковское шоссе, 44 к5",70000001025544124,"Диамед, стоматологическая клиника",branch,,,1 этаж,,
"проспект Мира, 12 ст3",4504127908969962,"Столица, стоматологическая клиника",branch,,,,,
"Профсоюзная улица, 56",70000001055659758,"Инпромед, медицинский центр",branch,,,5 этаж,,
"1-я Коммунистическая улица, ст1",4504127908989073,"Домостом, семейная стоматологическая клиника",branch,,,"2, 3 этаж",,
